"title","year","authors","url","abstract","notes","doi"
"An Updated Network Meta-Analysis of Pharmacological Therapies for Obstructive Sleep Apnea: Effects on AHI Reduction and Lowest Oxygen Saturation Improvement","2026","D. Kautsarrizqi and I.A. Virya and N.K. Caksana and Y.G. Rahmadi","https://doi.org/10.1016/j.sleep.2025.107930","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.1016/j.sleep.2025.107930"
"Estimation of Apnea-Hypopnea Index using sound-based AI for sleep apnea","2025","J Kim and J Hong and D Lee and S Kim","https://doi.org/10.1183/23120541.sleepandbreathing-2025.70","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.1183/23120541.sleepandbreathing-2025.70"
"458 The effect of cardioversion therapy for atrial fibrillation on AHI in obstructive sleep apnea patients","2021","Nardine Zakhary and Reena Mehra and Ken Monahan and Jayakumar Sahadevan and Anna May","https://doi.org/10.1093/sleep/zsab072.457","Abstract
               
                  Introduction
                  Sleep apnea (SA) is known to be associated with development of atrial fibrillation (AF), and therapy ameliorates this risk. Case reports and small series raise the possibility of a bidirectional effect of AF on SA burden. We hypothesize that SA control, demonstrated either by residual apnea-hypopnea index (AHI) or pressure during positive airway pressure (PAP) therapy, improves after successful cardioversion.
               
               
                  Methods
                  The cohort included VA patients with SA on PAP therapy who underwent successful outpatient direct-current AF cardioversion. Only patients with good adherence in the peri-procedural period, defined as use most days in the week before and after procedure, were included in the study (n=17). We compared AHI prior to and after cardioversion using the sign test since values were not normally distributed. Since most participants were on auto-titrating PAP, the sign test was also used to compare mean pressure difference in the 7 days before and after the procedure.
               
               
                  Results
                  There was no statistical difference when comparing AHI before and after AF cardioversion therapy (AHI change = -0.45, 95% CI = [-0.94, 0.17]) There was also no difference between mean pressure used for PAP therapy before and after therapy (pressure change = 0.05, 95% CI = [-0.1, 0.33]).
               
               
                  Conclusion
                  This small study did not find an association between successful AF cardioversion and PAP residual AHI or pressure (for auto-titrating machines). A larger cohort may have improved power to detect subtle effects of AF therapy on SA burden.
               
               
                  Support (if any)
                  This study was supported by the Career Development Award IK2CX001882 from the United States (U.S.) Department of Veterans Affairs Clinical Sciences Research and Development Service.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-0""]}","10.1093/sleep/zsab072.457"
"Sleep apnea diagnosis in children using software-generated apnea-hypopnea index (AHI) derived from data recorded with a single photoplethysmogram sensor (PPG)","2020","Hugi Hilmisson and Stephen Berman and Solveig Magnusdottir","https://doi.org/10.1007/s11325-020-02049-6","<h4>Objective</h4>Sleep quality is vital for healthy development in children. Sleep disorders are prevalent and negatively affect sleep quality. Early identification and appropriate intervention can improve children's health and quality of life. The current reference standard, polysomnography (PSG) has limitations regarding availability, cost, and access and may not replicate normal sleep patterns in the home. Simple, accurate sleep tests, available for repeated testing should be beneficial in management of sleep disorders.<h4>Method</h4>Secondary analysis of PSG data from the prospective multicenter Childhood Adenotonsillectomy Trial (CHAT) to evaluate FDA-cleared cloud-based software (Software-as-a-Medical-Device), which is based on analysis of photoplethysmogram data (PPG; plethysmogram-signal (PLETH) and oxygen saturation data (SpO<sub>2</sub>)), to automatically generate a novel apnea-hypopnea index (sAHI). sAHI is compared to manually scored AHI from PSG.<h4>Results</h4>Significant correlation is observed comparing the software-generated sAHI and manually derived AHI from the in-laboratory PSG-studies (Pearson correlation = 0.954, p < 0.0001) and receiver operating characteristics (ROC) demonstrate strong agreement in all OSA categories (mild, moderate, severe) 91.4%[CI<sub>95%</sub>89.5, 93.4]; 96.7%[CI<sub>95%</sub>95.4, 97.9]; 98.6%[CI<sub>95%</sub>97.8, 99.4], sensitivities 95.4%[CI<sub>95%</sub>93.2, 97.0]; 86.5%[CI<sub>95%</sub>80.3, 91.3]; 88.4%[CI<sub>95%</sub>78.4, 94.9] and specificities 84.4%[CI<sub>95%</sub>79.7, 88.4]; 99.2%[CI<sub>95%</sub>98.2, 99.7]; 99.6%[CI<sub>95%</sub>98.8, 99.9], respectively.<h4>Conclusion</h4>sAHI is comparable to manual scoring of AHI from in-laboratory PSG studies and effective to rule-in and rule-out obstructive sleep apnea (OSA) in all disease categories, providing safe and convenient approach for diagnosis and management of OSA in children. The data is recorded with a single-sensor, making the method suitable for multi-night testing in the child's home at considerably lower cost. This technology provides a simple tool to adhere to guidelines for diagnosis and management of OSA in children.<h4>Clinical trial registration name and number</h4>Childhood Adenotonsillectomy Study for Children with OSA (CHAT) https://clinicaltrials.gov/ct2/show/NCT00560859.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-1""]}","10.1007/s11325-020-02049-6"
"THE RESPIRATORY AROUSAL INDEX IS MORE SIGNIFICANTLY ASSOCIATED WITH THE PRESENCE OF HYPERTENSION THAN THE APNEA-HYPOPNEA INDEX (AHI) IN PATIENTS WITH OBSTRUCTIVE SLEEP APNEA","2025","Hyemoon Chung","https://doi.org/10.1097/01.hjh.0001117720.44117.96","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.1097/01.hjh.0001117720.44117.96"
"Atypical Catathrenia Mimicking Sleep Choking Sound of Obstructive Sleep Apnea","2023","Ki-Hwan Ji","https://doi.org/10.17241/smr.2023.01634","Catathrenia is a rare type of sleep-related breathing disorder with benign course and generally does not require treatment. However, the psychological burden on patients and bed partners is not light. In most cases, due to the sound characteristic of identifiable harmonics, it can be easily diagnosed; however, in some cases, it has non-typical sounds, and polysomnography is essential to diagnose. Here, I report a middle-aged woman with choking sounds like an obstructive sleep apnea patient during sleep, with typical polysomnography features of catathrenia.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-0""]}","10.17241/smr.2023.01634"
"SLEEP APNEA OVERSIGHT: THE AHI-3% THRESHOLD—CMS TREATMENT GAP","2024","CANDACE MIYAKI and PUJA BHARDWAJ and IDORENYIN UDOEYO and KIMBERLY PERSAUD and SREELATHA NAIK","https://doi.org/10.1016/j.chest.2024.06.3643","","","10.1016/j.chest.2024.06.3643"
"Snoring-based obstructive sleep apnea screening and AHI estimation with an adapted pretrained audio model","2026","Heng Li and Yun Lu and Yukun Qian and Lianyu Zhou and Mingjiang Wang and Hanrong Cheng","https://doi.org/10.1088/1361-6579/ae6f6a","Abstract
                  
                    Objective.
                    Obstructive sleep apnea (OSA) is a common sleep disorder that, if left untreated, can lead to serious health problems. Snoring is a typical symptom of OSA and is commonly used to develop non-contact automatic detection methods for apnea states during sleep. However, scarce snoring data and subject heterogeneity hinder model generalization to unseen subjects.
                    Approach.
                    This study proposed a snoring-based framework for OSA detection and apnea-hypopnea index (AHI) estimation. First, the OSA detection model is based on pretrained audio model Wav2vec 2.0. Considering the high computational complexity of the pretrained model, we adapt Wav2vec 2.0 through two complementary strategies. A layer dropping approach was proposed to prune redundant higher Transformer encoder layers to reduce computational burden while retaining low-level and mid-level acoustic representations relevant to snoring pathology. A cross-layer attention mechanism was introduced to integrate complementary features from different Transformer layers, balancing fine-grained acoustic detail with contextual information. Second, by simulating clinical AHI calculation processes, we introduced statistics including both absolute counts and ratio-based measures to build a regression model for AHI estimation.
                    Main results.
                    Evaluations under subject-dependent and subject-independent settings showed that the proposed framework achieved high abnormal-snoring detection performance with a trade-off between accuracy and computational cost. For AHI estimation, it achieved a mean absolute error of about 11 events h
                    
                      
                        
                      
                      
                        
                          
                            
                            
                              −
                              1
                            
                          
                        
                      
                    
                    and a Pearson correlation coefficient of 0.81.
                    Significance.
                    These results suggest that the task-adapted pretrained model can enhance generalization across unseen subjects and provide preliminary evidence of the feasibility of snoring-based OSA initial screening and AHI estimation.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.1088/1361-6579/ae6f6a"
"Predictors associated with very severe obstructive sleep apnea [AHI &gt; 60 events per hour] among sleep center patients in Mongolia","2021","Shuren Dashzeveg and L. Otgonbayar","https://doi.org/10.1016/j.jns.2021.118657","","","10.1016/j.jns.2021.118657"
"A Two-Stage Audio Cascade with Coordinate Attention for On-Device Snore and Sleep Apnea Detection","","Yang L.","https://doi.org/10.21203/rs.3.rs-10154077/v1","Abstract
                Smartphone audio offers a non-contact, low-cost path to sleep-health screening at scale. We present a two-stage on-device cascade for audio-based detection of sleep-disordered breathing. Stage 1 is a compact 2D convolutional neural network (CNN) that classifies each 1-second audio segment, represented as a 15 × 13 Mel-frequency cepstral coefficient matrix, as snore or non-snore. Its per-second binary output, together with sound pressure level and its rate of change, forms a 200 × 3 feature matrix sampled at 1 Hz that is the input to Stage 2, a long-window classifier that decides whether a 200-second window contains an apnea or hypopnea event. For Stage 2 we adapt Coordinate Attention, originally designed for 2D vision, to one-dimensional time series through a global–local fusion that preserves temporal position in a time-by-channel attention map, and compare it against a vanilla 1D CNN and an SE-Attention CNN. On 13,538 one-second segments and 2,953 PSG-labeled 200-second windows from 80 person-nights across 40 participants, evaluated across five seeds with 95% bootstrap confidence intervals, Stage 1 reaches 94.29% accuracy and Stage 2 reaches 87.14% accuracy and 86.94% F1 with only 14,001 parameters — a 93.2% reduction over the baseline — improving six of seven metrics over it. Against SE-Attention, the Coordinate-Attention model gains in precision and specificity rather than F1 or AUC. The cascade's ultra-compact intermediate representation (about 600 values per window) suits on-device inference.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.21203/rs.3.rs-10154077/v1"
"Apnea–Hypopnea Event Detection from 10-Second Sleep Audio Clips: A Machine Learning Model","2026","E. Ma and C.-Y. Tsai and P.-Z. Wang","https://doi.org/10.1016/j.sleep.2025.108561","","","10.1016/j.sleep.2025.108561"
"Clinical, polysomnographic, and cephalometric features of obstructive sleep apnea with AHI over 100","2021","Naoko Sata and Ayako Inoshita and Shoko Suda and Satomi Shiota and Nanako Shiroshita and Fusae Kawana and Yo Suzuki and Fumihiko Matsumoto and Katsuhisa Ikeda and Takatoshi Kasai","https://doi.org/10.1007/s11325-020-02241-8","<h4>Purpose</h4>Obstructive sleep apnea (OSA) is induced by a sleep-related collapse of the upper airway in association with multiple factors. The severity of OSA is determined by the apnea-hypopnea index (AHI). Although obesity and sex differences are common factors in OSA, the level of the AHI varies to the same degree according to the age and sex and degree of obesity. However, only a few studies have evaluated AHI over 100/h, those reports did not describe why they set the AHI cutoff at 100/h. The purpose of this study was to elucidate the pathogenesis of ""very"" severe OSA, defined as having an AHI > 100/h.<h4>Methods</h4>AHI > 100/h was set as very severe OSA (VS-OSA) in this study. As controls, moderate to severe OSA patients, matched with VS-OSA for age, sex, and body mass index (BMI), were enrolled. The findings of polysomnography and cephalography between VS-OSA and controls were compared.<h4>Results</h4>Eleven patients in the VS-OSA group (mean AHI 110.2/h) and 22 patients in the control group (mean AHI 41.6/h) were compared (mean age 50.2 vs 50.6, male:female 5:6 vs 10:12, mean BMI 35.4 kg/m<sup>2</sup> vs 34.5 kg/m<sup>2</sup>). There were no significant differences in the clinical characteristics. In the polysomnographic parameters, the VS-OSA group showed apnea predominance, the mean percutaneous oxygen saturation (SO<sub>2</sub>) was significantly lower in all sleep stages, and the minimum SO<sub>2</sub> was significantly lower (49.0% vs 77.5%, p = 0.002). A similar apnea duration and rather shorter hypopnea duration were shown. The time of apnea-to-arousal was significantly earlier (- 0.1 s vs 0.9 s, p = 0.003). Lung-to-finger circulation time showed no differences. The cephalometric findings showed no significant differences.<h4>Conclusions</h4>VS-OSA patients were more likely to have apnea predominance, desaturation when sleeping despite a similar apnea duration, and rather shorter hypopnea duration, and arousals were evoked significantly earlier.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-0""]}","10.1007/s11325-020-02241-8"
"Exploring non-invasive sensor methods for sleep apnea detection: image and audio processing approaches","2024","J. Chire and T. Vidigal and F. Ruiz and G. Hashioka and L. Castro","https://doi.org/10.1016/j.sleep.2023.11.1096","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.1016/j.sleep.2023.11.1096"
"1375 Multi-Night Validation of a Smart Bed for Apnea Detection and AHI Estimation","2025","Farzad Siyahjani and Kostiantyn Kalenyk and Saeed Babaeizadeh and Gary Garcia Molina","https://doi.org/10.1093/sleep/zsaf090.1375","Abstract
               
                  Introduction
                  Traditional sleep apnea diagnosis typically relies on single-night assessments, which may overlook night-to-night variations in respiratory events. Accurate estimation of the apnea-hypopnea index (AHI) requires multi-night monitoring, preferably leveraging unobtrusive monitoring methods. This study validates the Sleep Number smart bed’s apnea detection algorithm against CerebraTM level 3 In-home Sleep Apnea Testing (HSAT) device for single-night monitoring and introduces and extends its application to multi-night K-AHI estimation. Instead of using smoothing or filtering methods on single night AHIs which generally overlook AHI weights for different nights, we propose the K-AHI index: count of all detected apneic events divided by total sleep hours in K sessions. We also examine the number of nights (K) necessary for reliable AHI assessment, using the HSAT device as a reference. The study received Institutional Review Board (IRB) approval (#P20220412, Allendale IRB), with all team members properly certified.
               
               
                  Methods
                  Data were collected for 93 nights using both the HSAT device and Sleep Number beds and 990 nights with only Sleep Number bed’s ballistocardiograph (BCG) sensor from 11 participants (Age: mean 46.3 ± 6.5 years, Male/Female ratio 7/4, AHI mean 17.86 ± 12.1). Only six nights with missing or short sleep data were excluded from the analysis. Apnea episodes were detected every second by a BCG-processing deep neural network, marking an episode as apneic if it lasted at least 10 seconds. The K-AHI was then calculated for K = 1,..., 31. The HSAT device showed an average nightly AHI standard deviation of 5.8 across participants.
               
               
                  Results
                  The smart bed’s ability to detect AHI &amp;gt; 10 showed a sensitivity of 88% and specificity of 67% and Receiver Operating Characteristic Area Under the Curve (ROC-AUC) of.80 across the 87 nights when compared to the HSAT device on single night. Aggregating data over 14 nights, the smart bed achieved the highest (ROC-AUC) of 0.85 for detecting AHI &amp;gt; 10, with sensitivity and specificity of 94% and 73% respectively.
               
               
                  Conclusion
                  The smart bed’s apnea detection and KAHI metric show promising potential for seamless apnea risk monitoring, serving as an effective early indicator for undiagnosed individuals and enhancing early detection and intervention.
               
               
                  Support (if any)","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.1093/sleep/zsaf090.1375"
"PO-02-080 DIRECT-FROM-ECG APNEA-HYPOPNEA INDEX (AHI) FOR IMPROVING AFIB AND OBSTRUCTIVE SLEEP APNEA PATIENT OUTCOMES","2024","Sandeep Gulati and Andrea Natale and Nicholas T. Skipitaris and Brian Kolski and Jeffrey Tyler and Dale DuBois and Angelo J. Acquista","https://doi.org/10.1016/j.hrthm.2024.03.812","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.1016/j.hrthm.2024.03.812"
"Three-class obstructive sleep apnea severity assessment: a parallel AHI and ODI explainable artificial intelligence framework using craniofacial-enriched clinical data","2026","Zahra Ameli Mazandarani and Mohammad Behnaz and Hamed AmiriFard and Asghar Ebadifar and Hoori Mirmohammadsadeghi and Kazem Dalaie and Shahab Kavousinejad","https://doi.org/10.1007/s11325-026-03774-0","<h4>Background</h4>Machine learning models for Obstructive Sleep Apnea (OSA) diagnosis have largely inherited some structural limitations: reliance on generic, opportunistically collected feature sets; use of the Apnea-Hypopnea Index (AHI) as the sole ground truth; poor performance in multi-class severity grading; and predictions that offer clinicians no mechanistic insight. This study addresses these gaps by prospectively assembling a multi-domain dataset that, alongside established demographic, anthropometric, and questionnaire-based predictors, incorporates a panel of craniofacial and intraoral metrics specifically designed to capture the structural-anatomical contributors to OSA - integrating these into an interpretable framework for three-class severity classification evaluated against both AHI and the Oxygen Desaturation Index (ODI).<h4>Methods</h4>In this single-center study, 233 treatment-naïve adults from a tertiary referral cohort (61.8% severe OSA prevalence) underwent in-laboratory polysomnography (PSG). All predictor variables were collected prior to PSG outcome disclosure through a standardized clinical examination, requiring no overnight recording or specialized equipment. An Artificial Neural Network (ANN) was independently trained for three-class severity classification (No/Mild, Moderate, Severe) for each index. Model performance was evaluated on an independent test set (n = 47; 20% of the sample), with interpretability assessed using SHapley Additive exPlanations (SHAP). Comparison with an anatomy-excluded ablation model was conducted to establish the added value of the full feature set.<h4>Results</h4>The AHI-based model achieved 87.2% overall accuracy (sensitivity/specificity: No/Mild 0.93/0.97, Moderate 0.80/0.91, Severe 0.88/0.93). The ODI-based model achieved 76.6% accuracy, offering reliable exclusion of severe desaturation burden (No/Mild specificity: 0.94). Univariate analyses confirmed significant associations between OSA severity and STOP-BANG score, age, BMI, neck circumference, observed apnea, loud snoring, high blood pressure, Cervico-Mental Angle, Mentocervical Distance, and submental fat (all p ≤ .034 for both indices). SHAP analysis further identified V-shaped maxillary arch, Mallampati score, increased overjet, and alcohol use as influential model predictors - several reaching high model rankings despite modest univariate significance. Notably, AHI and ODI models diverged in their feature weighting - anatomy-driven features dominated AHI prediction while body habitus and comorbidity markers dominated ODI. Against a conventional demographic and questionnaire-based ablation model, the full anatomy-inclusive ANN achieved substantially higher accuracy (87.2% vs. 72.3%), with the largest gain at the Moderate-class boundary (sensitivity: 0.80 vs. 0.58).<h4>Conclusions</h4>As a proof-of-concept, this study demonstrates that an interpretable ML framework integrating craniofacial and intraoral assessments with standard clinical predictors can classify OSA severity across three classes and provide feature-level explanations to support clinical reasoning. By developing parallel AHI and ODI models, the framework moves beyond AHI-only paradigms, though both remain frequency-based surrogates; hypoxic burden - quantifying the cumulative oxygen desaturation load per sleep period - is the more physiologically complete target toward which this line of work should progress. Findings are limited by single-center design, spectrum bias from a tertiary referral cohort, modest sample size, and absence of inter-rater reliability data. External validation in larger, more representative populations is needed to confirm the robustness and clinical utility of this approach.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""EC-0""]}","10.1007/s11325-026-03774-0"
"Beyond the AHI–pulse wave analysis during sleep for recognition of cardiovascular risk in sleep apnea patients","2021","Christian Strassberger and Ding Zou and Thomas Penzel and Ingo Fietze and Jan Hedner and Joachim H. Ficker and Winfried Randerath and Bernd Sanner and Dirk Sommermeyer and Ludger Grote","https://doi.org/10.1111/jsr.13364","SummaryRecent evidence supports the use of pulse wave analysis during sleep for assessing functional aspects of the cardiovascular system. The current study compared the influence of pulse wave and sleep study‐derived parameters on cardiovascular risk assessment. In a multi‐centric study design, 358 sleep apnea patients (age 55 ± 13 years, 64% male, body mass index 30 ± 6 kg m−2, apnea–hypopnea index 13 [5–26] events per hr) underwent a standard overnight sleep recording. A novel cardiac risk index was computed based on pulse wave signals derived from pulse oximetry, reflecting vascular stiffness, cardiac variability, vascular autonomic tone and nocturnal hypoxia. Cardiovascular risk was determined using the ESC/ESH cardiovascular risk matrix, and categorized to high/low added cardiovascular risk. Comparisons between cardiac risk index and sleep parameters were performed for cardiovascular risk prediction. Apnea–hypopnea index, oxygen desaturation index and cardiac risk index were associated with high cardiovascular risk after adjustment for confounders (p = .002, .001, &lt; .001, respectively). In a nested reference model consisting of age, gender and body mass index, adding cardiac risk index but not apnea–hypopnea index or oxygen desaturation index significantly increased the area under the receiver operating characteristic curve (p = .012, .22 and .16, respectively). In a direct comparison of oxygen desaturation index and cardiac risk index, only the novel risk index had an independent effect on cardiovascular risk prediction (pCRI &lt; .001, pODI = .71). These results emphasize the association between nocturnal pulse wave and overall cardiovascular risk determined by an established risk matrix. Thus, pulse wave analysis during sleep provides a powerful approach for cardiovascular risk assessment in addition to conventional sleep study parameters.","","10.1111/jsr.13364"
"Intelligent audio-based signal processing for automatic detection of obstructive sleep apnea","2024","Mercedes Velasco and Ning Ma and Jose A. Gonzalez-Lopez","https://doi.org/10.21437/iberspeech.2024-28","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.21437/iberspeech.2024-28"
"ApneaWhisper: Transformer-Based Audio Segmentation for Fine-Grained Non-Invasive Sleep Apnea Detection","2025","Yunu Kim and Myeongbin Kim and Jaemyung Shin and Minsam Ko","https://doi.org/10.2147/nss.s553774","<h4>Purpose</h4>Sleep apnea is a prevalent sleep disorder with serious health implications. This study introduces ApneaWhisper, a Transformer-based audio segmentation model designed for noninvasive detection of sleep apnea subtypes using PSG-Audio data.<h4>Patients and methods</h4>We utilized a PSG-Audio dataset from 284 patients. ApneaWhisper leverages a pretrained Whisper encoder to extract 10 ms-resolution frame-level features from 20-second audio clips. A lightweight Transformer decoder with token-based segmentation and a classification head aggregates these features for both frame-level and clip-level predictions. The model was fine-tuned using class-balanced cross-entropy loss to address data imbalance across apnea subtypes.<h4>Results</h4>ApneaWhisper achieved strong performance for sleep apnea detection, with a clip-level F1-score of 0.82 and a frame-level F1-score of 0.70, outperforming conventional baselines including MFCC+DNN, VGGish+bi-LSTM, and VAD-based models. It also showed promising ability in distinguishing between OSA, MSA, CSA, and hypopnea, though with varying success.<h4>Conclusion</h4>The model's fine-grained temporal resolution enables precise apnea event localization, duration estimation, and subtype classification. While ApneaWhisper performs robustly for OSA, challenges remain in distinguishing central (CSA) and mixed (MSA) sleep apnea, due to subtle or ambiguous acoustic patterns. The frame-level segmentation also facilitates accurate apnea-hypopnea index (AHI) estimation, which could reduce dependence on full PSG studies in certain clinical and home-monitoring scenarios. Future improvements may involve multimodal integration (eg, oxygen saturation) and noise-robust training techniques.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.2147/nss.s553774"
"1400 Sound-Based AI Model for Estimating Apnea-Hypopnea Index in Sleep Apnea Detection","2025","Seunghun Kim and EunSung Cho and Hankyeol Kyung and Joonki Hong and Dongheon Lee and Ki-Young Jung and In-Young Yoon and Jeong-Whun Kim","https://doi.org/10.1093/sleep/zsaf090.1400","Abstract
               
                  Introduction
                  Obstructive sleep apnea (OSA) is a common sleep disorder associated with numerous health outcomes. Accurate diagnosis and severity assessment typically rely on the Apnea-Hypopnea Index (AHI), a standard metric obtained from polysomnography (PSG). However, PSG is costly and impractical for multi-night monitoring. This study validates a sound-based AI model to estimate AHI, exploring its potential as a convenient, contactless monitoring tool for long-term OSA management.
               
               
                  Methods
                  The AI model simultaneously predicts OSA events, sleep stages and snoring events. Performance was enhanced by improving data quality, extending the attention range, and augmenting Mel spectrogram data. The training dataset included 2,973 nights of sleep recordings collected between 2013 and 2024, using either PSG microphones or smartphone microphones. All recordings were annotated with PSG for both OSA and sleep stages. The model predicts apnea or hypopnea events in 6-second intervals and uses a simple linear regression on their distribution across the predicted sleep stages to estimate the AHI. Performance was assessed by comparing the estimated AHI with the manually scored AHI from PSG.
               
               
                  Results
                  On a separate test set of 1,492 nights, the model’s estimated AHI strongly correlated with the PSG reference (r=0.97) and showed a mean estimation error of -0.74 events/hour (95% CI: -0.74 ± 11.02). As a screening tool at different AHI thresholds (≥5, ≥15, and ≥30), the model achieved accuracies of 92%, 93%, and 94%; sensitivities of 0.94, 0.94, and 0.93; specificities of 0.88, 0.91, and 0.95; and ROC AUCs of 0.97, 0.98, and 0.98, respectively. When classifying OSA severity into four categories (AHI 0 to &amp;lt; 5, 5 to &amp;lt; 15, 15 to &amp;lt; 30 and ≥ 30), it attained 81% accuracy and a macro F1 score of 0.80.
               
               
                  Conclusion
                  This sound-based AI model accurately estimates AHI using only audio data, providing a low-cost and contactless approach to OSA screening and management. Its ability to enable home-based, long-term monitoring can greatly improve patient access to diagnosis and care. Future research will focus on enhancing robustness across diverse sleep environments and varying noise conditions.
               
               
                  Support (if any)","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.1093/sleep/zsaf090.1400"
"Time to Sleep","2022","Brad Schiller","https://doi.org/10.4324/9781003188957-34","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.4324/9781003188957-34"
"Identification of Sleep Apnea Syndrome by Analyzing Sleep Sound Data Using a Clustering Method","2020","Miyori Shirasuna","https://doi.org/10.15866/irea.v8i3.18747","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.15866/irea.v8i3.18747"
"Beyond AHI: Hypoxic Burden As A Superior marker in the Management of Opioid-Associated Central Sleep Apnea with Acetazolamide","2026","F. Zolfaghari and M. Mooziri and F. Mohammadi Inloo and S. Shabani and Z. Naderpour and P. Adimi Naghan and H.R. Jammati and M. Mirza Aghazadeh and T. Zandi Kermanshahi and M.R. Raoufy","https://doi.org/10.1016/j.sleep.2025.107962","","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Excluded""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""NO ABSTRACT""]}","10.1016/j.sleep.2025.107962"
"Automated Detection of Sleep Apnea Using Machine Learning: A Novel Approach Using Smartphone and Microphone for Breathing Sound Analysis","","Om Bhatt","https://doi.org/10.1101/2024.03.22.24304619","Abstract
                In this study, we evaluate the accuracy of a novel setup in the detection of apneas and hypopneas and estimating the apnea-hypopnea index (AHI). The study device setup consists of a microphone placed underneath the nose and a smartphone to collect the data. We recruited patients who were referred to the St. Josephs Hamilton Sleep Clinic for a sleep study. Data from our study device is collected simultaneously with polysomnography (PSG) in the sleep lab. A total of 26 patients were recruited, of which 2 dropped out during the data collection. Data from the microphone was too noisy for interpretation in 3 patients. Across the remaining 21 patients, the AHI based on their PSG ranged from 2 to 125 events/h, with an average AHI of 34 events/h. We used regression models trained on microphone audio data to identify noise and we developed an algorithm based on root-mean-square of the audio data for automatic detection of apneas and hypopneas. With reference to the PSG, our study device had a sensitivity of 94% and specificity of 87% in detecting apneas/hypopneas across a cumulative 120.9 hours of sleep data and more than 3700 such events. Our study device was able to accurately predict the AHI to within 4.3 events/h (+/-3.1). As such, we can conclude that our study device is accurate in identifying apneas/hypopneas, estimating the AHI and at ruling out cases of severe sleep apnea and can potentially be used as a screening test for this purpose. Our study device has the practical advantages of being very low cost and potentially more accessible as a screening tool, though further validation studies are needed to study accuracy across a larger population and for use at-home.","RAYYAN-INCLUSION: {""─Éß║╖ng Gia""=>""Included""} | USER-NOTES: {""─Éß║╖ng Gia""=>[""IC-P, IC-I, IC-C, IC-E""]}","10.1101/2024.03.22.24304619"
